rank,run_id,track,rank_status,budget_tier,candidate_count,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,partial_candidate_targets,metric_unavailable_targets,artifact_path
1,server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101,protein_domain,ranked,dev_fixed,1,first_output_only,0.049685,71,13,32,26,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/predictions/protenix-v2/T0206
,server_v2_attack_scoreable_size_balanced_msa_reuse_protenix5_seed101_105,protein_domain,attack:protenix_confidence_v1,server_attack,5,protenix_confidence_v1,0.102777,71,24,47,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206O
,server_v2_attack_scoreable_size_balanced_msa_reuse_protenix5_seed101_105_consensus_replay,protein_domain,attack:diversity_confidence_consensus_v1,server_attack,5,diversity_confidence_consensus_v1,0.102218,71,24,47,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206O
,server_v2_scoreable_attack_seed101_partial_diagnostic_20260706_2027cdt,protein_domain,unranked:run_not_rank_eligible,diagnostic,1,first_output_only,0.099576,71,24,47,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206
,server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,protein_domain,unranked:run_not_rank_eligible,diagnostic,1,first_output_only,0.099576,71,24,47,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206
,server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.044027,71,7,64,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206O
,server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.030073,71,7,64,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206
,server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.025928,71,5,66,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0234O
,server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.025831,71,8,63,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1234O
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.022448,71,4,67,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1234
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.022013,71,7,64,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0235O
,server_v2_domain_sequence_recovery_msa_warmup_seed101,protein_domain,unranked:run_not_rank_eligible,diagnostic,1,first_output_only,0.004265,71,2,67,2,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_domain_sequence_recovery_msa_warmup_seed101/predictions/protenix-v2/T1212
,server_v2_attack_nofail_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_oligo_recovery_nofail_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_oligo_recovery_nofail_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_size_balanced_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_size_balanced_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_size_balanced_shard03_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_size_balanced_shard04_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
